img	comment	related text	question	answer		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	What does Van Dyck refine?	the robust style of Cardinal Guido Bentivoglio's master		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	What was Van Dyck specialized in?	in long, sensitive fingers and the lush treatment of fabrics		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	What did Cardinal Guido Bentivoglio have work for in France as papal nuncio?	for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	Who had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants in France as papal nuncio?	Cardinal Guido Bentivoglio		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	What did Cardinal Guido Bentivoglio have work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants in as papal nuncio?	in France		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who is Van Dyck?	Rubens		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	What was Rubens specialized in?	in long, sensitive fingers and the lush treatment of fabrics		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	Where did Cardinal Guido Bentivoglio have work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants as papal nuncio?	in France		
		Cardinal Guido Bentivoglio, an Italian cardinal, statesman and historian, commissioned this portrait of himself.	Who was Cardinal Guido Bentivoglio?	statesman and historian		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Whose master does Van Dyck refine the robust style of?	of Cardinal Guido Bentivoglio's master		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who is Rubens?	Van Dyck		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	Who did Cardinal Guido Bentivoglio have work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants in France as?	as papal nuncio		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who was specialized in long, sensitive fingers and the lush treatment of fabrics?	Van Dyck		
		Cardinal Guido Bentivoglio, an Italian cardinal, statesman and historian, commissioned this portrait of himself.	What did Cardinal Guido Bentivoglio commission?	this portrait of himself		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who does Van Dyck refine the robust style of?	of Cardinal Guido Bentivoglio's master		
		As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France.	What did Cardinal Guido Bentivoglio have for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants in France as papal nuncio?	work		
		Cardinal Guido Bentivoglio, an Italian cardinal, statesman and historian, commissioned this portrait of himself.	Who was statesman and historian?	Cardinal Guido Bentivoglio		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Whose moir robe do Van Dyck note?	the sitter's moir robe		
20876-woman.jpg	This painting, depicting a woman pulling water from a well, a pile of vegetables at her feet, is an example of Kalf's Parisian period. The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene. This corner of the work hints at the skill and precision that characterise the dedicated still-lifes, which Kalf painted later in his career					
		The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene.	Whose feet are a still-life within a larger genre scene?	the woman's feet		
		The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene.	What is the pile of vegetables at the woman's feet?	the outstanding feature of the painting		
		The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene.	What is the outstanding feature of the painting?	the pile of vegetables at the woman's feet		
		The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene.	What are a still-life within a larger genre scene?	the woman's feet		
		The outstanding feature of the painting is the pile of vegetables at the woman's feet, a still-life within a larger genre scene.	What are the woman's feet?	a still-life within a larger genre scene		
